accuracy,precision,recall,f1,test_loss,model,sequence_length,embedding_size,epochs,learning_rate,padding,dataset
0.4103139013452915,0.2570160687593423,0.4103139013452915,0.3040634496102562,1.3835111601012093,LSTM_Layer,50,50,1,0.001,pre,BBC_news
0.6300448430493274,0.7321242050012916,0.6300448430493274,0.6255057068900111,1.348120431814875,LSTM_Single_Cell,50,50,1,0.001,pre,BBC_news
0.43946188340807174,0.27060034909960085,0.43946188340807174,0.28794750288882526,1.3811449451105935,LSTM_POS_Penn,50,50,1,0.001,pre,BBC_news
0.44170403587443946,0.2559586529115309,0.44170403587443946,0.2974374834544672,1.3617678731679916,LSTM_POS_Universal,50,50,1,0.001,pre,BBC_news
0.40582959641255606,0.1903223585870506,0.40582959641255606,0.25600174196785563,1.4794820845127106,LSTM_Layer,50,100,1,0.001,pre,BBC_news
0.2937219730941704,0.4087881683279905,0.2937219730941704,0.2157763109580684,1.5413183399609156,LSTM_Single_Cell,50,100,1,0.001,pre,BBC_news
0.45067264573991034,0.3041058203061613,0.45067264573991034,0.30473013350771416,1.3959018609353475,LSTM_POS_Penn,50,100,1,0.001,pre,BBC_news
0.42152466367713004,0.5984852609789635,0.42152466367713004,0.34992681226555544,1.4550503002745765,LSTM_POS_Universal,50,100,1,0.001,pre,BBC_news
0.44170403587443946,0.2032293082807459,0.44170403587443946,0.27833797655051173,1.4015704584973199,LSTM_Layer,200,50,1,0.001,pre,BBC_news
0.3923766816143498,0.180414805222482,0.3923766816143498,0.24712958619291195,1.424592633332525,LSTM_Single_Cell,200,50,1,0.001,pre,BBC_news
0.42376681614349776,0.32352853248922886,0.42376681614349776,0.3102265596198859,1.453012423855918,LSTM_POS_Penn,200,50,1,0.001,pre,BBC_news
0.3923766816143498,0.18085576605755974,0.3923766816143498,0.24713256021718955,1.451477044395038,LSTM_POS_Universal,200,50,1,0.001,pre,BBC_news
0.33183856502242154,0.1699398417015854,0.33183856502242154,0.20659699420230027,1.5510224593537194,LSTM_Layer,200,100,1,0.001,pre,BBC_news
0.5134529147982063,0.564338894121963,0.5134529147982063,0.42601026840839673,1.4547322477613176,LSTM_Single_Cell,200,100,1,0.001,pre,BBC_news
0.3609865470852018,0.3953330763143477,0.3609865470852018,0.2531442747407425,1.508118314402444,LSTM_POS_Penn,200,100,1,0.001,pre,BBC_news
0.42376681614349776,0.2099733129397884,0.42376681614349776,0.27618977466981187,1.3938539581639426,LSTM_POS_Universal,200,100,1,0.001,pre,BBC_news
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4445622576134545,LSTM_Layer,50,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4436739572456905,LSTM_Single_Cell,50,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44457151506628306,LSTM_POS_Penn,50,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4436701998114586,LSTM_POS_Universal,50,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44455777960164206,LSTM_Layer,50,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44457630472523824,LSTM_Single_Cell,50,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4445720557655607,LSTM_POS_Penn,50,100,1,0.001,pre,SpamSMS
0.8745519713261649,0.8469176302236261,0.8745519713261649,0.8485387915220274,0.435746474138328,LSTM_POS_Universal,50,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44366499398435866,LSTM_Layer,200,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44367609258208957,LSTM_Single_Cell,200,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44371160332645687,LSTM_POS_Penn,200,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4436955947961126,LSTM_POS_Universal,200,50,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4436712269272123,LSTM_Layer,200,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.44367063237088067,LSTM_Single_Cell,200,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4437870206577437,LSTM_POS_Penn,200,100,1,0.001,pre,SpamSMS
0.8691756272401434,0.7554662709882967,0.8691756272401434,0.8083416667525782,0.4436874787722315,LSTM_POS_Universal,200,100,1,0.001,pre,SpamSMS
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.619365179034717,LSTM_Layer,50,50,1,0.001,pre,DisasterTweets
0.7265625,0.7091027462121212,0.7265625,0.7018113580586947,0.5765160702388076,LSTM_Single_Cell,50,50,1,0.001,pre,DisasterTweets
0.6829044117647058,0.677763330942133,0.6829044117647058,0.5555471626048692,0.6129104858812164,LSTM_POS_Penn,50,50,1,0.001,pre,DisasterTweets
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6179442297228995,LSTM_POS_Universal,50,50,1,0.001,pre,DisasterTweets
0.7215073529411765,0.708001793103067,0.7215073529411765,0.7107381764886385,0.5744417365640402,LSTM_Layer,50,100,1,0.001,pre,DisasterTweets
